Name of Clinic,Address,Email,Phone,Services
Back In Motion Podiatry Bayswater,i Shop 9a 348 Mountain Hwy Wantirna VIC 3152,bayswater.podiatry@backinmotion.com.au,1800366837,3; 6; 4
My FootDr Beerwah,i 58 Simpson Street Beerwah QLD 4519,beerwah@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; Custom Footwear; National Disability Insurance Scheme; Seniors Footcare
BIM Podiatry Balcatta,"i Lot 2, 386 Wanneroo Road Westminster WA 6061",,1800366837,Services & Advice Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace Footwear Altra Archies OST1st Running Socks Propet ECCO Ziera Saucony Revere Anodyne Birkenstock Back to School 2025 Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket F.A.Q; Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace; Bracenfix™ - Ingrown Toenail Treatment; Supramalleolar Orthotics (SMOs); Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Cosmetic Nail Restoration; Cobra9 Cycling Orthotics; Cryotherapy For Plantar Warts; Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket; Beautiful Nails Again; Caring Fo
My FootDr Woodville,i Shop 1 924 Port Road Woodville West SA 5011,woodville@myfootdr.com.au,1800366837,3; 6; 4
My FootDr Blacktown,i Suite 113/30 Campbell Street Blacktown NSW 2148,blacktown@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare
My FootDr Blackwood,i 236 Main Road Blackwood SA 5051,blackwood@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; Custom Footwear; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Footwear
My FootDr Boronia,i 12 Floriston Rd Boronia VIC 3155,boronia@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts
My FootDr Brisbane CBD,i Ground Level 324 Queen Street Brisbane QLD 4000,brisbanecbd@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetic Footcare; Custom Footwear; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Cosmetic Nail Restoration; Footwear; Cryotherapy For Plantar Warts
My FootDr Brookwater,i 17 / L1 Brookwater Retail Village 2 Tournament Drive Brookwater QLD 4300,brookwater@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetic Footcare; Custom Footwear; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Shockwave Therapy; Supramalleolar Orthotics (SMOs); Footwear
Advanced Foot Care Bundaberg,i 10/36 Quay St Bundaberg Central QLD 4670,bundaberg@myfootdr.com.au,1800366837,Sports podiatry; Digital Gait analysis; Custom Orthotics; Paediatric assessments; Footwear assessments; General podiatry care
Back In Motion Podiatry Bundall,"i 1 Allawah St (cnr Bundall Rd) Bundall, Gold Coast QLD 4217",bundall.podiatry@backinmotion.com.au,1800366837,3; 6; 4
Back In Motion Podiatry Burleigh Waters,"i Shop E, 1/6-8 Classic Way Burleigh Waters QLD 4220",burleighwaters.podiatry@backinmotion.com.au,1800366837,3; 6; 4
My FootDr Burwood,i 6 Railway Parade Burwood NSW 2134,burwood@myfootdr.com.au,1800366837,General foot care; Diabetes care; Custom foot orthotics; Paediatric care; Nail surgery; Footwear advice
Allsports Podiatry Calamvale,i Cnr Kameruka Street & Beaudesert Road Calamvale QLD 4116,calamvale@allsportspodiatry.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare
Allsports Podiatry Camp Hill,i 448 Old Cleveland Road Camp Hill QLD 4152,camphill@allsportspodiatry.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare
My FootDr Camp Hill,i 50 Wyena Street (Cnr Clara & Wyena St) Camp Hill QLD 4152,camphill@myfootdr.com.au,1800366837,Clinical podiatry; Fungal nail infection laser treatment; Diabetic footcare; SWIFT microwave wart therapy; Cryotherapy for plantar warts; Seniors footcare; Cosmetic nail restoration; Paraffin wax bath treatment; National Disability Insurance Scheme; Video gait analysis; Shockwave therapy; Footwear; Custom foot orthotics; Custom footwear; CAM walker (moon boot); SureStep; Custom cricket shoes; Cobra9 cycling orthotics
My FootDr Casula,i 6 Holston Street Casula NSW 2170,casula@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Shockwave therapy; Cryotherapy for plantar warts
My FootDr Cessnock,i 298 Maitland Rd Cessnock NSW 2325,cessnock@myfootdr.com.au,1800366837,3; 6; 4
The Foot and Ankle Clinic Podiatry Chadstone,i 79 Chadstone Road Malvern East VIC 3145,chadstone@thefootandankleclinic.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Paraffin wax bath treatment; Cryotherapy for plantar warts; Verruca Surgery
My FootDr Charlestown,i 190 Pacific Highway Charlestown NSW 2290,charlestown@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; 3D Scans; Video gait analysis; Diabetic foot care; NDIS services; Seniors’ foot care; Shockwave therapy
My FootDr Christies Beach,i 141 Beach Rd Christies Beach SA 5165,christies.beach@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Shockwave therapy; Footwear
My FootDr Cleveland,"i Suite 5 & 6, Trinity Chambers Cnr Waterloo & Middle Streets Cleveland QLD 4163",cleveland@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Paraffin wax bath treatment; Cryotherapy for plantar warts
Back In Motion Podiatry Como,i Unit 3 / 460 Canning Highway Como WA 6152,como@backinmotion.com.au,1800366837,3; 6; 4
NQ Foot & Ankle Centre Cowboys Centre of Excellence,i North Queensland Cowboys Centre of Excellence 26 Graham Murray Place Railway Estate QLD 4810,kirwan@nqfootandankle.com.au,1800366837,3; 6; 4
My FootDr Cranbourne,i 26 William St Cranbourne VIC 3977,cranbourne@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Paraffin wax bath treatment; Cryotherapy for plantar warts
My FootDr Currambine,i Suite 12/13 Hobsons Gate Currambine WA 6028,currambine@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cryotherapy for plantar warts
My FootDr Devonport,i 26 William St Devonport TAS 7310,devonport@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Cryotherapy for plantar warts
My FootDr Dubbo,"i Shop 18, Orana Mall Shopping Centre 56 Windsor Parade Dubbo NSW 2830",dubbo@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Laser treatment for fungal nail infections; Diabetic foot care; Custom footwear; NDIS services; CAM walkers (moon boots); Seniors’ foot care; Shockwave therapy
The Foot and Ankle Clinic Podiatry East Bentleigh,i 951 Centre Road East Bentleigh VIC 3165,eastbentleigh@thefootandankleclinic.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Paraffin wax bath treatment; Cryotherapy for plantar warts
Allsports Podiatry Forest Lake,i The Tower Medical Centre 241 Forest Lake Boulevard Forest Lake QLD 4078,forestlake@allsportspodiatry.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare
My FootDr Fortitude Valley,i 2/455A Brunswick Street Fortitude Valley QLD 4006,fortitudevalley@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Paraffin wax bath treatment; Cryotherapy for plantar warts
My FootDr Gladstone,i 1/146 Auckland St Gladstone Central QLD 4680,gladstone@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cryotherapy for plantar warts
My FootDr Gumdale,"i Eastside Village Shopping Centre Shop 20, Cnr New Cleveland & Tilley Roads Gumdale QLD 4154",gumdale@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Paraffin wax bath treatment; Cryotherapy for plantar warts
My FootDr Allsports Podiatry Hawthorne,i Brisbane Sports & Exercise Medicine Specialists 87 Riding Road Hawthorne QLD 4171,hawthorne@allsportspodiatry.com.au,1800366837,Services & Advice Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace Footwear Altra Archies OST1st Running Socks Propet ECCO Ziera Saucony Revere Anodyne Birkenstock Back to School 2025 Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket F.A.Q; Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace; Bracenfix™ - Ingrown Toenail Treatment; Supramalleolar Orthotics (SMOs); Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Cosmetic Nail Restoration; Cobra9 Cycling Orthotics; Cryotherapy For Plantar Warts; Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket; Beautiful Nails Again; Caring Fo
Advanced Foot Care Hervey Bay,i 1/6 Torquay Rd Pialba QLD 4655,hervey.bay@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare
